city,district,street,rooms,size,level,max_levels,floor_state,price_m2,price,lat,lng
Tashkent,Chilonzor, Чиланзар квартал Ц,4,96.0,7,9,o'rta qavat,697,67000,41.2798237,69.2058023
Tashkent,Uchtepa, Чиланзар 25-й квартал,4,80.0,4,5,o'rta qavat,850,68000,41.2797359,69.1670599
Tashkent,Uchtepa, Чиланзар 24-й квартал,2,63.0,1,4,1-qavat,642,40500,41.2814223,69.1760005
Tashkent,Uchtepa, Чиланзар 23-й квартал,2,56.0,4,5,o'rta qavat,964,54000,41.2867929,69.1789807
Tashkent,Uchtepa, Чиланзар 22-й квартал,2,52.0,1,4,1-qavat,692,36000,41.2879715,69.1692951
Tashkent,Uchtepa, Чиланзар 12-й квартал,3,98.0,2,4,o'rta qavat,693,68000,41.281265,69.1879213
Tashkent,Chilonzor, Бешёгоч,3,96.0,9,9,oxirgi qavat,656,63000,41.3068527,69.2534409
Tashkent,Shayxontohur, Актепа,4,93.0,4,4,oxirgi qavat,682,63500,41.3275402,69.2102725
Tashkent,Shayxontohur, Международный деловой центр Tashkent City,2,60.0,9,9,oxirgi qavat,825,49500,41.3365221,69.2824454
Tashkent,Chilonzor, Чиланзарский район массив Аль-Хорезми-2,5,82.0,4,4,oxirgi qavat,853,70000,41.260048,69.162198
Tashkent,Uchtepa, Чиланзар 23-й квартал,5,120.0,9,9,oxirgi qavat,433,52000,41.2867929,69.1789807
Tashkent,Uchtepa, Чиланзар 15-й квартал,4,110.0,3,3,oxirgi qavat,827,91000,41.2953086,69.182706
Tashkent,Chilonzor, Чиланзар 1-й квартал,4,95.0,2,4,o'rta qavat,873,83000,41.2847707,69.2288981
Tashkent,Uchtepa, 4-й проезд Курувчи,2,56.0,1,4,1-qavat,723,40500,41.265874,69.223683
Tashkent,Chilonzor, Мукими,3,68.0,3,4,o'rta qavat,705,48000,41.2885649,69.2290098
Tashkent,Olmazor, Себзар,2,57.0,3,4,o'rta qavat,736,42000,41.3333453,69.2475235
Tashkent,Yashnobod, Жаркургон,1,46.0,11,11,oxirgi qavat,429,19765,41.286283,69.3235123
Tashkent,Chilonzor, Чиланзар 2-й квартал,2,45.0,4,4,oxirgi qavat,766,34500,41.2807837,69.223683
Tashkent,Yunusobod, Юнусабад 10-й квартал,2,40.0,1,9,1-qavat,1000,40000,41.3804352,69.2840285
Tashkent,Mirzo Ulug‘bek, Хумаюн,3,95.0,5,5,oxirgi qavat,526,50000,41.3427418,69.3875774
Tashkent,Yunusobod, Кашгар,2,53.0,1,9,1-qavat,1283,68000,41.3197131,69.2773236
Tashkent,Olmazor, Карасарайская,2,72.0,4,9,o'rta qavat,576,41500,41.3376966,69.243806
Tashkent,Mirzo Ulug‘bek, Буз-1 (Буз базар) ,3,65.0,4,5,o'rta qavat,638,41500,41.3215876,69.3230626
Tashkent,Yunusobod, ц-4 Кашгар (Ц-4) ,4,82.0,1,4,1-qavat,1048,86000,41.3197131,69.2773236
Tashkent,Chilonzor, Чиланзар,1,42.0,3,9,o'rta qavat,607,25500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,2,54.0,4,4,oxirgi qavat,583,31500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,1,42.0,1,4,1-qavat,630,26500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар 6-й квартал,2,45.0,4,4,oxirgi qavat,1000,45000,41.2857552,69.2117625
Tashkent,Chilonzor, Чиланзар,1,46.0,2,5,o'rta qavat,652,30000,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,2,50.0,2,4,o'rta qavat,690,34500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар,1,36.0,2,4,o'rta qavat,750,27000,41.259418,69.1804708
Tashkent,Uchtepa, Чиланзар 12-й квартал,4,80.0,6,9,o'rta qavat,743,59500,41.281265,69.1879213
Tashkent,Uchtepa, Кизил Шарк,3,72.0,3,9,o'rta qavat,666,48000,41.3239274,69.2143264
Tashkent,Uchtepa, Чиланзар 25-й квартал,4,78.0,5,5,oxirgi qavat,606,47299,41.2797359,69.1670599
Tashkent,Chilonzor, Аль-Хорезми-2,2,46.0,4,5,o'rta qavat,804,37000,41.260048,69.162198
Tashkent,Chilonzor, Чиланзар-8,2,60.0,2,4,o'rta qavat,633,38000,41.2894422,69.2058023
Tashkent,Olmazor, 15-й проезд Сагбан,2,58.0,5,9,o'rta qavat,508,29500,41.3638683,69.2187028
Tashkent,Chilonzor, Чиланзар 10-й квартал,2,70.0,2,7,o'rta qavat,800,56000,41.2829494,69.1968618
Tashkent,Yakkasaroy, 1-й проезд Мукими,2,68.0,6,9,o'rta qavat,661,45000,41.2788969,69.2489174
Tashkent,Uchtepa, Чиланзар 31-й квартал,4,100.0,3,5,o'rta qavat,615,61500,41.2978921,69.1804708
Tashkent,Chilonzor, Мукими,3,68.0,5,5,oxirgi qavat,683,46500,41.2885649,69.2290098
Tashkent,Uchtepa, Чиланзар 31-й квартал,3,70.0,4,12,o'rta qavat,728,51000,41.2978921,69.1804708
Tashkent,Chilonzor, Аль-Хорезми-2,3,90.0,5,9,o'rta qavat,648,58400,41.260048,69.162198
Tashkent,Chilonzor, Аль-Хорезми-2,3,60.0,5,5,oxirgi qavat,783,47000,41.260048,69.162198
Tashkent,Uchtepa, Чиланзар 31-й квартал,4,80.0,5,5,oxirgi qavat,656,52500,41.2978921,69.1804708
Tashkent,Uchtepa, Гулистон,3,74.0,3,5,o'rta qavat,675,50000,41.2978921,69.1804708
Tashkent,Chilonzor, Чиланзар 1-й квартал,2,48.0,2,5,o'rta qavat,864,41500,41.2847707,69.2288981
Tashkent,Chilonzor, Аль-Хорезми-2,4,94.0,9,9,oxirgi qavat,478,45000,41.260048,69.162198
Tashkent,Uchtepa, Чиланзар 24-й квартал,3,65.0,4,9,o'rta qavat,730,47500,41.2814223,69.1760005
